id,title,type,release_year,age_certification,runtime,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres1,genres2,genres3,genres4,genres5,genres6,genres7,genres8,genres9
tm1000619,Radhe Shyam,MOVIE,2022,,138,['IN'],,tt8960382,5.3,29928,7.499,5.5,'drama', 'romance',,,,,,,
tm1132935,Death Link,MOVIE,2021,,88,['US'],,tt12503602,3.1,289,,,'horror', 'drama',,,,,,,
tm1107637,Flashback,MOVIE,2021,,95,"['US', 'FR']",,tt14371426,6.1,744,12.213,5.9,'scifi', 'comedy',,,,,,,
tm1020475,"2025: Blood, White & Blue",MOVIE,2022,,135,['US'],,tt9893130,2.1,174,5.465,4,'comedy', 'horror', 'action',,,,,,
tm1138007,Book of Love,MOVIE,2022,,106,"['GB', 'MX']",,tt14014068,5.5,2985,11.036,5.736,'comedy', 'romance',,,,,,,
ts312119,Orelsan: Never Show This to Anyone,SHOW,2021,,41,['FR'],2,tt15469946,8.5,799,5.304,8.417,'documentation', 'music',,,,,,,
tm1043100,Terror Eyes,MOVIE,2021,,78,['US'],,tt4109242,3.7,704,2.854,6.7,'thriller', 'horror',,,,,,,
tm185648,Assault on Wall Street,MOVIE,2022,R,99,['CA'],,tt2368553,6,21312,19.498,5.8,'drama', 'thriller', 'action', 'crime',,,,,
ts354438,The One That Got Away,SHOW,2022,TV-14,55,['GB'],1,tt19895748,5.2,249,2.289,2,'reality', 'romance',,,,,,,
ts291402,Luxe Listings Sydney,SHOW,2021,TV-14,43,['AU'],3,tt14344354,6.2,622,1.681,6.2,'reality', 'documentation',,,,,,,
tm1023413,Fear,MOVIE,2021,,101,['US'],,tt8657270,3.8,549,5.667,6.5,'thriller', 'action', 'horror',,,,,,
tm1026472,The Girl Who Believes in Miracles,MOVIE,2021,PG,100,['US'],,tt9098454,5.4,1048,9.589,7.7,'drama', 'family',,,,,,,
tm1268011,Dive,MOVIE,2022,,95,['MX'],,tt22656762,6.9,1445,36.406,7.3,'drama', 'sport',,,,,,,
ts321286,Who Is Ghislaine Maxwell?,SHOW,2022,TV-MA,50,"['GB', 'US']",1,tt14073254,6.6,295,2.298,5,'documentation',,,,,,,,
tm1230186,Vendhu Thanindhathu Kaadu,MOVIE,2022,,172,['IN'],,tt14182646,7.4,7184,2.108,7.8,'thriller', 'drama', 'action', 'crime',,,,,
tm1001958,The Ravine,MOVIE,2021,R,121,['US'],,tt11155912,4.8,1644,4.281,7,'drama', 'thriller',,,,,,,
tm957436,Bobbi Jo: Under the Influence,MOVIE,2021,,102,['US'],,tt13228370,8.7,28,1.4,,'documentation',,,,,,,,
tm518978,Look Into the Fire,MOVIE,2022,PG-13,105,['US'],,tt7013708,4.8,68,2.52,5,'thriller',,,,,,,,
tm834683,The Electrical Life of Louis Wain,MOVIE,2021,PG-13,111,['GB'],,tt10687506,6.8,16510,18.821,7,'drama', 'history', 'comedy',,,,,,
tm990374,Drishyam 2,MOVIE,2021,,153,['IN'],,tt12361178,8.4,38570,12.102,7.8,'thriller', 'crime', 'drama',,,,,,
ts279209,Cheat Out,SHOW,2022,,21,[],1,tt13833772,,,,,,,,,,,,,
tm1081067,Amazon Queen,MOVIE,2021,,88,['US'],,tt13223248,4.6,1989,7.531,5.8,'thriller', 'action', 'drama',,,,,,
tm935785,The Rose Maker,MOVIE,2021,,105,['FR'],,tt11190652,6.4,789,6.035,6.7,'comedy', 'european',,,,,,,
tm1070369,Crow Valley,MOVIE,2022,R,77,['AU'],,tt14766048,3.2,198,3.299,4.2,'thriller', 'horror',,,,,,,
tm1174163,1UP,MOVIE,2022,R,100,"['CA', 'US']",,tt13487922,3.2,1396,7.202,5.6,'comedy', 'sport',,,,,,,
tm466946,Hansan: Rising Dragon,MOVIE,2022,,130,['KR'],,tt21109538,6.6,1352,76.724,7.2,'drama', 'history', 'war', 'action',,,,,
tm1259112,Sawed Off,MOVIE,2022,,83,['US'],,tt14562632,4,112,2.32,,'horror',,,,,,,,
ts364081,Modern Love Tokyo,SHOW,2022,,38,['JP'],1,tt19265146,6.5,162,31.752,6.4,'drama', 'comedy', 'romance',,,,,,
ts373939,Christmas Always Finds Its Way,SHOW,2022,,12,['US'],1,tt23784994,7.6,62,3.635,6,'comedy', 'action', 'drama', 'scifi',,,,,
tm1035107,Lansky,MOVIE,2021,R,119,['US'],,tt5078852,6.2,8456,12.794,6.167,'drama', 'thriller', 'crime', 'history',,,,,
tm1122232,Songbirds,MOVIE,2022,,61,['US'],,tt15569728,6.9,15,3.548,,'documentation', 'music',,,,,,,
ts362977,Dr. Seuss Baking Challenge,SHOW,2022,,53,['US'],1,tt18830922,8.3,103,3.283,3,'reality',,,,,,,,
tm991478,The Map of Tiny Perfect Things,MOVIE,2021,PG-13,99,['US'],,tt11080108,6.8,24208,14.293,7.2,'romance', 'fantasy', 'comedy',,,,,,
tm1221599,Ivanna,MOVIE,2022,R,103,['ID'],,tt11448138,5.7,789,8.699,4.7,'horror', 'thriller',,,,,,,
ts344407,Heartland Homicide,SHOW,2022,,44,[],1,tt18375800,8.4,18,,,'crime',,,,,,,,
tm1130588,Country Hard,MOVIE,2021,,119,['NG'],,tt13222440,4.6,14,0.954,,'crime', 'drama',,,,,,,
tm935412,Butchers,MOVIE,2021,,93,['CA'],,tt8764358,4.7,2340,40.09,4.981,'horror', 'thriller',,,,,,,
tm1079668,The Falling World,MOVIE,2022,,90,['US'],,tt13374994,4.6,68,4.523,5,'drama',,,,,,,,
tm949400,Rage,MOVIE,2021,,143,['AU'],,tt8874764,4.5,441,2.45,6.2,'thriller',,,,,,,,
tm1231933,Death Hunt,MOVIE,2022,,92,['CA'],,tt14100830,3.7,394,3.028,3,'thriller', 'action',,,,,,,
ts363099,Out Loud,SHOW,2022,,32,['CO'],1,tt21437602,8.5,108,10.961,6,'comedy', 'drama',,,,,,,
tm1082383,Abducted,MOVIE,2021,,105,['CA'],,tt12717808,4.6,102,1.614,10,'thriller',,,,,,,,
tm472306,Shershaah,MOVIE,2021,,135,['IN'],,tt10295212,8.4,123631,9.334,7.2,'drama', 'war', 'romance', 'history', 'action',,,,
tm898547,Undergods,MOVIE,2021,R,92,"['BE', 'EE', 'RS', 'SE', 'GB']",,tt8043434,5.4,1249,6.612,5.902,'drama', 'scifi', 'thriller', 'fantasy',,,,,
tm1018699,Lazarus,MOVIE,2021,,105,['US'],,tt5821728,3.4,531,3.196,4.25,'action', 'scifi', 'thriller',,,,,,
tm1093882,Journey of My Heart,MOVIE,2021,G,84,['CA'],,,,,3.222,6.9,,,,,,,,,
tm1049078,Them,MOVIE,2021,,84,['GB'],,tt12805730,3.4,209,2.143,,'scifi', 'thriller',,,,,,,
tm1281139,Elvis the Pig,MOVIE,2022,,70,['CA'],,tt23986562,6.4,27,7.458,2,'drama', 'family',,,,,,,
tm1274849,4:04:44,MOVIE,2022,,111,['NG'],,tt23036660,5,34,,,'drama',,,,,,,,
tm458582,Coming 2 America,MOVIE,2021,PG-13,116,['US'],,tt6802400,5.3,71690,32.052,6.5,'comedy',,,,,,,,
tm1103682,Where's Rose,MOVIE,2022,,83,['US'],,tt10804210,4.7,548,4.411,4.5,'horror', 'thriller',,,,,,,
tm1055634,A House on the Bayou,MOVIE,2021,,88,['US'],,tt14405338,5.5,5108,12.318,5.8,'horror', 'thriller',,,,,,,
tm416958,"Summer Days, Summer Nights",MOVIE,2021,,124,['US'],,tt7026270,6.2,790,5.927,5.4,'drama', 'romance',,,,,,,
ts349119,Suzhal - The Vortex,SHOW,2022,,46,['IN'],1,tt20873118,8.2,8249,5.342,6.6,'crime', 'thriller', 'drama', 'fantasy',,,,,
